user_input,bot_response
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 1),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 1),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 1),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 1),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 1),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 1),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 1),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 1),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 1),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 1),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 3),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 3),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 3),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 3),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 3),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 3),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 3),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 3),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 3),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 3),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 4),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 4),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 4),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 4),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 4),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 4),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 4),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 4),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 4),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 4),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 5),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 5),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 5),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 5),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 5),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 5),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 5),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 5),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 5),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 5),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 6),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 6),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 6),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 6),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 6),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 6),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 6),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 6),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 6),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 6),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 7),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 7),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 7),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 7),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 7),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 7),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 7),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 7),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 7),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 7),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 8),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 8),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 8),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 8),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 8),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 8),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 8),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
